dataset,model,technique,accuracy,precision,recall,f1_score,parse_failure_rate,n_samples,timestamp
20newsgroups,gemma3:12b,zero_shot,0.5466666666666666,0.7225734734000863,0.5355723443223444,0.5582101136727714,0.016666666666666666,300,2025-12-03T22:50:20.195359
20newsgroups,gemma3:12b,few_shot_3,0.66,0.7324372930990579,0.6407417582417583,0.6797226430038774,0.006666666666666667,300,2025-12-03T22:52:16.691559
20newsgroups,gemma3:12b,few_shot_5,0.6366666666666667,0.6976950233401716,0.6168658424908424,0.6483861110729571,0.0033333333333333335,300,2025-12-03T22:54:13.179060
20newsgroups,gemma3:12b,chain_of_thought,0.30333333333333334,0.6529599567099567,0.2924175824175824,0.3895921164209346,0.4766666666666667,300,2025-12-03T23:02:30.602613
20newsgroups,gemma3:12b,zero_shot_enriched,0.6033333333333334,0.7252895586521746,0.5916575091575093,0.6126182734464545,0.0033333333333333335,300,2025-12-03T23:04:28.987309
20newsgroups,gemma3:12b,few_shot_3_enriched,0.67,0.7125420237871863,0.6574885531135531,0.6628174814409593,0.0033333333333333335,300,2025-12-03T23:06:30.046013
20newsgroups,gemma3:12b,few_shot_5_enriched,0.64,0.6833141520641519,0.6219917582417582,0.6667492183887486,0.0033333333333333335,300,2025-12-03T23:08:44.540827
20newsgroups,gemma3:12b,chain_of_thought_enriched,0.5166666666666667,0.7092204756028285,0.5060393772893772,0.5634304701280752,0.22333333333333333,300,2025-12-03T23:16:02.581110
20newsgroups,llama3.2:1b,zero_shot,0.07333333333333333,0.2683843263553408,0.07425595238095238,0.14339057982222897,0.006666666666666667,300,2025-12-03T23:16:53.809240
20newsgroups,llama3.2:1b,few_shot_3,0.05,0.18182488306327316,0.054711538461538464,0.0979723707664884,0.11,300,2025-12-03T23:19:06.169917
20newsgroups,llama3.2:1b,few_shot_5,0.04,0.005291005291005291,0.046153846153846156,0.09056603773584905,0.03333333333333333,300,2025-12-03T23:21:27.646271
20newsgroups,llama3.2:1b,chain_of_thought,0.07333333333333333,0.191343932922006,0.07298305860805862,0.16280436386395422,0.17,300,2025-12-03T23:23:45.638732
20newsgroups,llama3.2:1b,zero_shot_enriched,0.09333333333333334,0.27749909238631043,0.09345238095238094,0.15336099409163664,0.016666666666666666,300,2025-12-03T23:24:38.577092
20newsgroups,llama3.2:1b,few_shot_3_enriched,0.08333333333333333,0.1182574930931522,0.0867948717948718,0.13880043489665475,0.03333333333333333,300,2025-12-03T23:26:02.135347
20newsgroups,llama3.2:1b,few_shot_5_enriched,0.07333333333333333,0.10202290282504188,0.07844551282051282,0.124522792022792,0.023333333333333334,300,2025-12-03T23:27:40.690214
20newsgroups,llama3.2:1b,chain_of_thought_enriched,0.15,0.27063245506296923,0.15203067765567765,0.19436353030902742,0.15333333333333332,300,2025-12-03T23:30:12.986193
20newsgroups,gpt-oss:20b,zero_shot,0.14666666666666667,0.9916666666666666,0.1405128205128205,0.4038988290691076,0.85,300,2025-12-03T23:35:15.347858
20newsgroups,gpt-oss:20b,few_shot_3,0.18,0.9895833333333334,0.1720833333333333,0.4165041980797803,0.8166666666666667,300,2025-12-03T23:40:05.384865
20newsgroups,gpt-oss:20b,few_shot_5,0.18,0.9642857142857143,0.17259615384615384,0.361044715600222,0.8166666666666667,300,2025-12-03T23:44:55.735579
20newsgroups,gpt-oss:20b,chain_of_thought,0.13666666666666666,0.9861111111111112,0.13051282051282048,0.33132945485886667,0.86,300,2025-12-03T23:49:48.493338
20newsgroups,gpt-oss:20b,zero_shot_enriched,0.20333333333333334,0.9600000000000001,0.19488782051282053,0.37854671917076016,0.79,300,2025-12-03T23:54:41.494032
20newsgroups,gpt-oss:20b,few_shot_3_enriched,0.25,0.9852430555555556,0.24063873626373625,0.43021743336922874,0.7433333333333333,300,2025-12-03T23:59:33.319731
20newsgroups,gpt-oss:20b,few_shot_5_enriched,0.22666666666666666,0.9624255952380952,0.21831730769230767,0.3923383185619439,0.7633333333333333,300,2025-12-04T00:04:26.163532
20newsgroups,gpt-oss:20b,chain_of_thought_enriched,0.14,1.0,0.1345970695970696,0.4021352963902432,0.86,300,2025-12-04T00:09:24.652545
