dataset,model,technique,accuracy,precision,recall,f1_score,parse_failure_rate,n_samples,timestamp
ag_news,gemma3:12b,zero_shot,0.8366666666666667,0.8690275927159672,0.8366666666666667,0.829821995197751,0.0,300,2025-12-04T08:35:43.193840
ag_news,gemma3:12b,few_shot_3,0.8366666666666667,0.8593725061067854,0.8366666666666667,0.8340340051090209,0.0,300,2025-12-04T08:37:16.331744
ag_news,gemma3:12b,few_shot_5,0.8566666666666667,0.867958089668616,0.8566666666666667,0.8551560978745589,0.0,300,2025-12-04T08:38:50.425695
ag_news,gemma3:12b,chain_of_thought,0.4533333333333333,0.8284518828451883,0.45333333333333337,0.36942675159235666,0.0,300,2025-12-04T08:46:57.226961
ag_news,gemma3:12b,zero_shot_enriched,0.8466666666666667,0.8661323277706462,0.8466666666666667,0.8437009994303765,0.0,300,2025-12-04T08:48:28.915925
ag_news,gemma3:12b,few_shot_3_enriched,0.8433333333333334,0.8613491561737177,0.8433333333333333,0.8414131515280351,0.0,300,2025-12-04T08:50:02.033955
ag_news,gemma3:12b,few_shot_5_enriched,0.8633333333333333,0.8678525220736079,0.8633333333333333,0.8630117684785498,0.0,300,2025-12-04T08:51:36.246345
ag_news,gemma3:12b,chain_of_thought_enriched,0.67,0.8083506160244665,0.6699999999999999,0.6641951728282163,0.016666666666666666,300,2025-12-04T08:59:43.226811
ag_news,llama3.2:1b,zero_shot,0.5166666666666667,0.6356722557135993,0.5166666666666667,0.6048393837880902,0.006666666666666667,300,2025-12-04T09:00:27.927734
ag_news,llama3.2:1b,few_shot_3,0.55,0.6807603215696961,0.55,0.6487251802089811,0.0,300,2025-12-04T09:01:11.538502
ag_news,llama3.2:1b,few_shot_5,0.6,0.7179618352858746,0.6,0.7170915106398977,0.013333333333333334,300,2025-12-04T09:01:55.054130
ag_news,llama3.2:1b,chain_of_thought,0.3,0.5676895306859207,0.30000000000000004,0.19549960429320895,0.013333333333333334,300,2025-12-04T09:04:09.860717
ag_news,llama3.2:1b,zero_shot_enriched,0.5,0.6877076411960132,0.5,0.5831452835058791,0.0033333333333333335,300,2025-12-04T09:04:54.760341
ag_news,llama3.2:1b,few_shot_3_enriched,0.4866666666666667,0.6840479529820342,0.4866666666666667,0.5758192812987334,0.0033333333333333335,300,2025-12-04T09:05:42.601424
ag_news,llama3.2:1b,few_shot_5_enriched,0.54,0.7272562592999936,0.54,0.634065934065934,0.0033333333333333335,300,2025-12-04T09:06:30.858761
ag_news,llama3.2:1b,chain_of_thought_enriched,0.36,0.6397532956229404,0.36,0.3349085796952945,0.07666666666666666,300,2025-12-04T09:09:10.404144
ag_news,gpt-oss:20b,zero_shot,0.6166666666666667,0.919810040705563,0.6166666666666667,0.7191245722622099,0.3233333333333333,300,2025-12-04T09:13:36.034563
ag_news,gpt-oss:20b,few_shot_3,0.5966666666666667,0.90650334396315,0.5966666666666667,0.6968067360246298,0.34,300,2025-12-04T09:17:50.203511
ag_news,gpt-oss:20b,few_shot_5,0.57,0.9213279564699444,0.57,0.6849497090876401,0.38,300,2025-12-04T09:22:06.949610
ag_news,gpt-oss:20b,chain_of_thought,0.5966666666666667,0.9237876476434829,0.5966666666666667,0.6995984327814224,0.3566666666666667,300,2025-12-04T09:26:19.234149
ag_news,gpt-oss:20b,zero_shot_enriched,0.65,0.9189357835413303,0.6499999999999999,0.7438529583920226,0.2866666666666667,300,2025-12-04T09:30:16.052018
ag_news,gpt-oss:20b,few_shot_3_enriched,0.56,0.9256202851785638,0.56,0.6669469679989174,0.38666666666666666,300,2025-12-04T09:34:30.491847
ag_news,gpt-oss:20b,few_shot_5_enriched,0.55,0.9001803047903607,0.5499999999999999,0.6553247484452158,0.38666666666666666,300,2025-12-04T09:38:49.259860
ag_news,gpt-oss:20b,chain_of_thought_enriched,0.6466666666666666,0.9281414237935977,0.6466666666666667,0.7446702126760683,0.29333333333333333,300,2025-12-04T09:42:48.009317
bbc_news,gemma3:12b,zero_shot,0.93,0.93890675092705,0.9212747530774097,0.9262396079985014,0.0,300,2025-12-04T09:44:36.910369
bbc_news,gemma3:12b,few_shot_3,0.94,0.9399073700566237,0.9355733956113463,0.9367078215735649,0.0,300,2025-12-04T09:46:16.163311
bbc_news,gemma3:12b,few_shot_5,0.9566666666666667,0.9586597420843997,0.9519515399211794,0.9542022417929628,0.0,300,2025-12-04T09:47:57.093110
bbc_news,gemma3:12b,chain_of_thought,0.52,0.7470212765957447,0.48821947791453624,0.4664456131485625,0.0,300,2025-12-04T09:56:28.490221
bbc_news,gemma3:12b,zero_shot_enriched,0.9533333333333334,0.9580548840540782,0.9487257334695667,0.9516926000442746,0.0,300,2025-12-04T09:58:08.269417
bbc_news,gemma3:12b,few_shot_3_enriched,0.95,0.953997915293952,0.9456488103926434,0.9479666900074581,0.0,300,2025-12-04T09:59:48.659652
bbc_news,gemma3:12b,few_shot_5_enriched,0.9566666666666667,0.9584424737282692,0.9527961854717073,0.9543051735028628,0.0,300,2025-12-04T10:01:30.557480
bbc_news,gemma3:12b,chain_of_thought_enriched,0.78,0.8427837473137089,0.762304341301054,0.7629482695166875,0.0,300,2025-12-04T10:09:59.479572
bbc_news,llama3.2:1b,zero_shot,0.59,0.8437128796877651,0.5657592085868004,0.5413956946464686,0.02666666666666667,300,2025-12-04T10:10:44.939091
bbc_news,llama3.2:1b,few_shot_3,0.88,0.8946133970694937,0.8723844159688829,0.8789650055214235,0.006666666666666667,300,2025-12-04T10:11:29.790886
bbc_news,llama3.2:1b,few_shot_5,0.8433333333333334,0.8787496770860243,0.8296829015742878,0.8336692305386857,0.006666666666666667,300,2025-12-04T10:12:15.173991
bbc_news,llama3.2:1b,chain_of_thought,0.5033333333333333,0.7070934828747786,0.464823804893292,0.42090965470269187,0.0,300,2025-12-04T10:13:27.629341
bbc_news,llama3.2:1b,zero_shot_enriched,0.31,0.6209905660377358,0.31396681749622923,0.30851007728063295,0.0,300,2025-12-04T10:14:11.559395
bbc_news,llama3.2:1b,few_shot_3_enriched,0.30666666666666664,0.7432098765432098,0.3159577677224736,0.3806854093115329,0.0,300,2025-12-04T10:14:57.216351
bbc_news,llama3.2:1b,few_shot_5_enriched,0.38,0.8058652729384437,0.39463046757164405,0.4310370178928403,0.0033333333333333335,300,2025-12-04T10:15:47.323175
bbc_news,llama3.2:1b,chain_of_thought_enriched,0.5633333333333334,0.6967090257412838,0.546677192528009,0.5455424964734265,0.0,300,2025-12-04T10:18:25.900114
bbc_news,gpt-oss:20b,zero_shot,0.8633333333333333,0.9707147375079064,0.8514387194083589,0.8985239026052071,0.11,300,2025-12-04T10:22:31.806335
bbc_news,gpt-oss:20b,few_shot_3,0.8733333333333333,0.957311320754717,0.8641969542159297,0.9012696343204818,0.08666666666666667,300,2025-12-04T10:26:24.075881
bbc_news,gpt-oss:20b,few_shot_5,0.8733333333333333,0.9707588939410213,0.8650415997664576,0.9077204219584643,0.1,300,2025-12-04T10:30:20.395689
bbc_news,gpt-oss:20b,chain_of_thought,0.8233333333333334,0.9730344596855136,0.8077584780810587,0.8677997432605904,0.15333333333333332,300,2025-12-04T10:34:22.159466
bbc_news,gpt-oss:20b,zero_shot_enriched,0.8366666666666667,0.970588949605343,0.8223023402909551,0.881094588190324,0.13666666666666666,300,2025-12-04T10:38:09.309523
bbc_news,gpt-oss:20b,few_shot_3_enriched,0.8766666666666667,0.9810319381990084,0.8629017661655233,0.909539397144368,0.10666666666666667,300,2025-12-04T10:41:52.407885
bbc_news,gpt-oss:20b,few_shot_5_enriched,0.8566666666666667,0.9706900717719325,0.844987106505133,0.8985538016859638,0.12,300,2025-12-04T10:45:36.452428
bbc_news,gpt-oss:20b,chain_of_thought_enriched,0.82,0.9703101930475168,0.8018498516031723,0.8645006054315862,0.15333333333333332,300,2025-12-04T10:49:37.868405
20newsgroups,gemma3:12b,zero_shot,0.5466666666666666,0.7225734734000863,0.5355723443223444,0.5582101136727714,0.016666666666666666,300,2025-12-04T10:51:41.244697
20newsgroups,gemma3:12b,few_shot_3,0.62,0.7275558122433121,0.6040018315018314,0.613724240848068,0.0033333333333333335,300,2025-12-04T10:53:33.869205
20newsgroups,gemma3:12b,few_shot_5,0.6133333333333333,0.7397518996703779,0.6029601648351648,0.6140373475426089,0.013333333333333334,300,2025-12-04T10:55:27.105772
20newsgroups,gemma3:12b,chain_of_thought,0.30666666666666664,0.6951398601398601,0.2980425824175824,0.38094143725833407,0.47333333333333333,300,2025-12-04T11:03:44.421037
20newsgroups,gemma3:12b,zero_shot_enriched,0.6,0.7259337811311496,0.5881158424908426,0.6129908378709512,0.0033333333333333335,300,2025-12-04T11:05:41.170607
20newsgroups,gemma3:12b,few_shot_3_enriched,0.66,0.7160032123478828,0.6470421245421245,0.6583822772551889,0.0033333333333333335,300,2025-12-04T11:07:39.650509
20newsgroups,gemma3:12b,few_shot_5_enriched,0.6533333333333333,0.6900781394531394,0.638337912087912,0.6509178469851868,0.0033333333333333335,300,2025-12-04T11:09:50.649565
20newsgroups,gemma3:12b,chain_of_thought_enriched,0.5266666666666666,0.7097009350298824,0.5123855311355311,0.5701971632876788,0.24,300,2025-12-04T11:17:13.682456
20newsgroups,llama3.2:1b,zero_shot,0.07333333333333333,0.2683843263553408,0.07425595238095238,0.14339057982222897,0.006666666666666667,300,2025-12-04T11:18:04.252146
20newsgroups,llama3.2:1b,few_shot_3,0.08333333333333333,0.3389485871126018,0.08366071428571428,0.17513188415993874,0.013333333333333334,300,2025-12-04T11:18:53.138238
20newsgroups,llama3.2:1b,few_shot_5,0.06333333333333334,0.12715237821476424,0.06639880952380953,0.10213654507808695,0.02,300,2025-12-04T11:19:42.339407
20newsgroups,llama3.2:1b,chain_of_thought,0.07666666666666666,0.25256726286020026,0.07566163003663004,0.1577021442604831,0.17666666666666667,300,2025-12-04T11:21:54.547104
20newsgroups,llama3.2:1b,zero_shot_enriched,0.10666666666666667,0.23004876154547213,0.1069940476190476,0.1840189133534566,0.016666666666666666,300,2025-12-04T11:22:46.108596
20newsgroups,llama3.2:1b,few_shot_3_enriched,0.08,0.261633245488064,0.08185210622710622,0.17770928508255698,0.03,300,2025-12-04T11:23:38.631188
20newsgroups,llama3.2:1b,few_shot_5_enriched,0.09333333333333334,0.3366621492930921,0.09956043956043956,0.2102311264317471,0.023333333333333334,300,2025-12-04T11:24:31.239312
20newsgroups,llama3.2:1b,chain_of_thought_enriched,0.13666666666666666,0.31405548597644184,0.13738782051282053,0.20037351626104596,0.15666666666666668,300,2025-12-04T11:27:03.524667
20newsgroups,gpt-oss:20b,zero_shot,0.18333333333333332,0.9871794871794872,0.17509615384615385,0.39586049809161944,0.8133333333333334,300,2025-12-04T11:31:57.718675
20newsgroups,gpt-oss:20b,few_shot_3,0.18333333333333332,0.90625,0.1761378205128205,0.45577820926271106,0.81,300,2025-12-04T11:36:48.830521
20newsgroups,gpt-oss:20b,few_shot_5,0.2,0.8717948717948718,0.19155448717948714,0.45165954338341824,0.79,300,2025-12-04T11:41:39.673784
20newsgroups,gpt-oss:20b,chain_of_thought,0.14333333333333334,0.9230769230769231,0.1367628205128205,0.34837738514209105,0.8533333333333334,300,2025-12-04T11:46:32.228426
20newsgroups,gpt-oss:20b,zero_shot_enriched,0.20333333333333334,0.985925925925926,0.19405448717948717,0.37615113684369306,0.79,300,2025-12-04T11:51:29.465131
20newsgroups,gpt-oss:20b,few_shot_3_enriched,0.21333333333333335,0.9577922077922079,0.20605540293040292,0.4182886699029998,0.7733333333333333,300,2025-12-04T11:56:25.738771
20newsgroups,gpt-oss:20b,few_shot_5_enriched,0.23,0.978125,0.22188873626373623,0.401361661499424,0.76,300,2025-12-04T12:01:21.135643
20newsgroups,gpt-oss:20b,chain_of_thought_enriched,0.14666666666666667,0.9638888888888889,0.14123397435897436,0.353103878978492,0.8466666666666667,300,2025-12-04T12:06:16.517337
