model,technique,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,parse_failure_rate_mean,parse_failure_rate_std
gemma3:12b,chain_of_thought,0.4267,0.1091,0.7569,0.0672,0.4132,0.1012,0.4056,0.053,0.1578,0.2733
gemma3:12b,chain_of_thought_enriched,0.6589,0.127,0.7869,0.0691,0.6482,0.1264,0.6658,0.0964,0.0856,0.134
gemma3:12b,few_shot_3,0.7989,0.1633,0.8423,0.1072,0.7921,0.1702,0.7948,0.165,0.0011,0.0019
gemma3:12b,few_shot_3_enriched,0.8178,0.1467,0.8438,0.12,0.812,0.1517,0.8159,0.1465,0.0011,0.0019
gemma3:12b,few_shot_5,0.8089,0.1766,0.8555,0.11,0.8039,0.1804,0.8078,0.175,0.0044,0.0077
gemma3:12b,few_shot_5_enriched,0.8244,0.1554,0.8388,0.1365,0.8182,0.162,0.8227,0.1557,0.0011,0.0019
gemma3:12b,zero_shot,0.7711,0.1999,0.8435,0.1104,0.7645,0.2027,0.7714,0.1908,0.0056,0.0096
gemma3:12b,zero_shot_enriched,0.8,0.1812,0.85,0.1169,0.7945,0.1859,0.8028,0.173,0.0011,0.0019
gpt-oss:20b,chain_of_thought,0.5211,0.3462,0.94,0.0286,0.5137,0.3431,0.6386,0.265,0.4544,0.3601
gpt-oss:20b,chain_of_thought_enriched,0.5378,0.3496,0.9541,0.0227,0.5299,0.3454,0.6541,0.2675,0.4311,0.3666
gpt-oss:20b,few_shot_3,0.5511,0.3472,0.9234,0.0294,0.5457,0.3469,0.6846,0.223,0.4122,0.367
gpt-oss:20b,few_shot_3_enriched,0.55,0.3318,0.9548,0.0278,0.543,0.3288,0.6649,0.2456,0.4222,0.3348
gpt-oss:20b,few_shot_5,0.5478,0.3372,0.9213,0.0495,0.5422,0.3376,0.6814,0.2281,0.4233,0.347
gpt-oss:20b,few_shot_5_enriched,0.5456,0.3134,0.9497,0.043,0.539,0.3117,0.6517,0.2486,0.4222,0.3215
gpt-oss:20b,zero_shot,0.5544,0.3442,0.9592,0.0351,0.5477,0.3434,0.6712,0.2547,0.4156,0.3606
gpt-oss:20b,zero_shot_enriched,0.5633,0.3254,0.9585,0.0351,0.5555,0.3246,0.667,0.2611,0.4044,0.3422
llama3.2:1b,chain_of_thought,0.2933,0.2134,0.5091,0.2329,0.2802,0.1953,0.258,0.1423,0.0633,0.0984
llama3.2:1b,chain_of_thought_enriched,0.3533,0.2134,0.5502,0.2065,0.348,0.2049,0.3603,0.174,0.0778,0.0783
llama3.2:1b,few_shot_3,0.5044,0.4003,0.6381,0.2803,0.502,0.3965,0.5676,0.3589,0.0067,0.0067
llama3.2:1b,few_shot_3_enriched,0.2911,0.2038,0.563,0.2626,0.2948,0.2032,0.3781,0.1991,0.0111,0.0164
llama3.2:1b,few_shot_5,0.5022,0.3991,0.5746,0.3958,0.4987,0.3916,0.551,0.393,0.0133,0.0067
llama3.2:1b,few_shot_5_enriched,0.3378,0.2263,0.6233,0.2513,0.3447,0.2244,0.4251,0.212,0.01,0.0115
llama3.2:1b,zero_shot,0.3933,0.2795,0.5826,0.2913,0.3856,0.2707,0.4299,0.2501,0.0133,0.0115
llama3.2:1b,zero_shot_enriched,0.3056,0.1967,0.5129,0.2472,0.307,0.1966,0.3586,0.2042,0.0067,0.0088
